job_id,stage_id,task_id,job_arrival_t,task_start_t,task_end_t,task_dur,job_end_t,job_dur
59,0,5,6882866.531530365,6885966.581530365,6887066.7315303655,1100,6888167.2315303655,5300
59,0,2,6882866.531530365,6885966.581530365,6887066.7315303655,1100,6888167.2315303655,5300
59,0,8,6882866.531530365,6885966.581530365,6887066.7315303655,1100,6888167.2315303655,5300
59,0,14,6882866.531530365,6885966.581530365,6887066.7315303655,1100,6888167.2315303655,5300
59,0,11,6882866.531530365,6885966.581530365,6887066.7315303655,1100,6888167.2315303655,5300
59,0,17,6882866.531530365,6885966.581530365,6887066.7315303655,1100,6888167.2315303655,5300
59,0,1,6882866.531530365,6885966.581530365,6887066.7315303655,1100,6888167.2315303655,5300
59,0,7,6882866.531530365,6885966.581530365,6887066.7315303655,1100,6888167.2315303655,5300
59,0,4,6882866.531530365,6885966.581530365,6887066.7315303655,1100,6888167.2315303655,5300
59,0,10,6882866.531530365,6885966.581530365,6887066.7315303655,1100,6888167.2315303655,5300
59,0,13,6882866.531530365,6885966.581530365,6887066.7315303655,1100,6888167.2315303655,5300
59,0,19,6882866.531530365,6885966.581530365,6887066.7315303655,1100,6888167.2315303655,5300
59,0,16,6882866.531530365,6885966.581530365,6887066.7315303655,1100,6888167.2315303655,5300
59,0,0,6882866.531530365,6885966.581530365,6887066.7315303655,1100,6888167.2315303655,5300
59,0,3,6882866.531530365,6885966.581530365,6887066.7315303655,1100,6888167.2315303655,5300
59,0,6,6882866.531530365,6885966.581530365,6887066.7315303655,1100,6888167.2315303655,5300
59,0,12,6882866.531530365,6885966.581530365,6887066.7315303655,1100,6888167.2315303655,5300
59,0,9,6882866.531530365,6885966.581530365,6887066.7315303655,1100,6888167.2315303655,5300
59,0,15,6882866.531530365,6885966.581530365,6887066.7315303655,1100,6888167.2315303655,5300
59,0,18,6882866.531530365,6885966.581530365,6887066.7315303655,1100,6888167.2315303655,5300
59,1,19,6882866.531530365,6884866.531530365,6885966.581530365,1100,6888167.2315303655,5300
59,1,16,6882866.531530365,6884866.531530365,6885966.581530365,1100,6888167.2315303655,5300
59,1,0,6882866.531530365,6884866.531530365,6885966.581530365,1100,6888167.2315303655,5300
59,1,3,6882866.531530365,6884866.531530365,6885966.581530365,1100,6888167.2315303655,5300
59,1,6,6882866.531530365,6884866.531530365,6885966.581530365,1100,6888167.2315303655,5300
59,1,12,6882866.531530365,6884866.531530365,6885966.581530365,1100,6888167.2315303655,5300
59,1,9,6882866.531530365,6884866.531530365,6885966.581530365,1100,6888167.2315303655,5300
59,1,15,6882866.531530365,6884866.531530365,6885966.581530365,1100,6888167.2315303655,5300
59,1,18,6882866.531530365,6884866.531530365,6885966.581530365,1100,6888167.2315303655,5300
59,1,5,6882866.531530365,6884866.531530365,6885966.581530365,1100,6888167.2315303655,5300
59,1,2,6882866.531530365,6884866.531530365,6885966.581530365,1100,6888167.2315303655,5300
59,1,8,6882866.531530365,6884866.531530365,6885966.581530365,1100,6888167.2315303655,5300
59,1,14,6882866.531530365,6884866.531530365,6885966.581530365,1100,6888167.2315303655,5300
59,1,11,6882866.531530365,6884866.531530365,6885966.581530365,1100,6888167.2315303655,5300
59,1,17,6882866.531530365,6884866.531530365,6885966.581530365,1100,6888167.2315303655,5300
59,1,1,6882866.531530365,6884866.531530365,6885966.581530365,1100,6888167.2315303655,5300
59,1,7,6882866.531530365,6884866.531530365,6885966.581530365,1100,6888167.2315303655,5300
59,1,4,6882866.531530365,6884866.531530365,6885966.581530365,1100,6888167.2315303655,5300
59,1,10,6882866.531530365,6884866.531530365,6885966.581530365,1100,6888167.2315303655,5300
59,1,13,6882866.531530365,6884866.531530365,6885966.581530365,1100,6888167.2315303655,5300
59,2,1,6882866.531530365,6887066.7315303655,6888167.2315303655,1100,6888167.2315303655,5300
59,2,0,6882866.531530365,6887066.7315303655,6888167.2315303655,1100,6888167.2315303655,5300
60,0,2,6973850.312016786,6975850.312016786,6976950.362016786,1100,6978950.862016784,5100
60,0,8,6973850.312016786,6975850.312016786,6976950.362016786,1100,6978950.862016784,5100
60,0,5,6973850.312016786,6975850.312016786,6976950.362016786,1100,6978950.862016784,5100
60,0,11,6973850.312016786,6975850.312016786,6976950.362016786,1100,6978950.862016784,5100
60,0,14,6973850.312016786,6975850.312016786,6976950.362016786,1100,6978950.862016784,5100
60,0,17,6973850.312016786,6975850.312016786,6976950.362016786,1100,6978950.862016784,5100
60,0,1,6973850.312016786,6975850.312016786,6976950.362016786,1100,6978950.862016784,5100
60,0,4,6973850.312016786,6975850.312016786,6976950.362016786,1100,6978950.862016784,5100
60,0,7,6973850.312016786,6975850.312016786,6976950.362016786,1100,6978950.862016784,5100
60,0,13,6973850.312016786,6975850.312016786,6976950.362016786,1100,6978950.862016784,5100
60,0,10,6973850.312016786,6975850.312016786,6976950.362016786,1100,6978950.862016784,5100
60,0,16,6973850.312016786,6975850.312016786,6976950.362016786,1100,6978950.862016784,5100
60,0,19,6973850.312016786,6975850.312016786,6976950.362016786,1100,6978950.862016784,5100
60,0,3,6973850.312016786,6975850.312016786,6976950.362016786,1100,6978950.862016784,5100
60,0,0,6973850.312016786,6975850.312016786,6976950.362016786,1100,6978950.862016784,5100
60,0,6,6973850.312016786,6975850.312016786,6976950.362016786,1100,6978950.862016784,5100
60,0,9,6973850.312016786,6975850.312016786,6976950.362016786,1100,6978950.862016784,5100
60,0,15,6973850.312016786,6975850.312016786,6976950.362016786,1100,6978950.862016784,5100
60,0,12,6973850.312016786,6975850.312016786,6976950.362016786,1100,6978950.862016784,5100
60,0,18,6973850.312016786,6975850.312016786,6976950.362016786,1100,6978950.862016784,5100
60,1,4,6973850.312016786,6976950.362016786,6978050.412016786,1100,6978950.862016784,5100
60,1,1,6973850.312016786,6976950.362016786,6978050.412016786,1100,6978950.862016784,5100
60,1,7,6973850.312016786,6978050.412016786,6978150.4620167855,100,6978950.862016784,5100
60,1,13,6973850.312016786,6978050.412016786,6978150.4620167855,100,6978950.862016784,5100
60,1,10,6973850.312016786,6978150.4620167855,6978250.512016785,100,6978950.862016784,5100
60,1,16,6973850.312016786,6978150.4620167855,6978250.512016785,100,6978950.862016784,5100
60,1,19,6973850.312016786,6978250.512016785,6978350.562016785,100,6978950.862016784,5100
60,1,0,6973850.312016786,6978250.512016785,6978350.562016785,100,6978950.862016784,5100
60,1,6,6973850.312016786,6978350.562016785,6978450.612016785,100,6978950.862016784,5100
60,1,3,6973850.312016786,6978350.562016785,6978450.612016785,100,6978950.862016784,5100
60,1,9,6973850.312016786,6978450.612016785,6978550.662016785,100,6978950.862016784,5100
60,1,12,6973850.312016786,6978450.612016785,6978550.662016785,100,6978950.862016784,5100
60,1,18,6973850.312016786,6978550.662016785,6978650.712016785,100,6978950.862016784,5100
60,1,15,6973850.312016786,6978550.662016785,6978650.712016785,100,6978950.862016784,5100
60,1,2,6973850.312016786,6978650.712016785,6978750.762016784,100,6978950.862016784,5100
60,1,5,6973850.312016786,6978650.712016785,6978750.762016784,100,6978950.862016784,5100
60,1,11,6973850.312016786,6978750.762016784,6978850.812016784,100,6978950.862016784,5100
60,1,8,6973850.312016786,6978750.762016784,6978850.812016784,100,6978950.862016784,5100
60,1,14,6973850.312016786,6978850.812016784,6978950.862016784,100,6978950.862016784,5100
60,1,17,6973850.312016786,6978850.812016784,6978950.862016784,100,6978950.862016784,5100
61,0,2,6991646.969675502,6993646.969675502,6994834.519675502,1187,7002328.769675502,10681
61,0,5,6991646.969675502,6993646.969675502,6994834.519675502,1187,7002328.769675502,10681
61,0,11,6991646.969675502,6993646.969675502,6994834.519675502,1187,7002328.769675502,10681
61,0,8,6991646.969675502,6993646.969675502,6994834.519675502,1187,7002328.769675502,10681
61,0,14,6991646.969675502,6993646.969675502,6994834.519675502,1187,7002328.769675502,10681
61,0,17,6991646.969675502,6993646.969675502,6994834.519675502,1187,7002328.769675502,10681
61,0,4,6991646.969675502,6993646.969675502,6994834.519675502,1187,7002328.769675502,10681
61,0,1,6991646.969675502,6993646.969675502,6994834.519675502,1187,7002328.769675502,10681
61,0,7,6991646.969675502,6993646.969675502,6994834.519675502,1187,7002328.769675502,10681
61,0,10,6991646.969675502,6993646.969675502,6994834.519675502,1187,7002328.769675502,10681
61,0,16,6991646.969675502,6993646.969675502,6994834.519675502,1187,7002328.769675502,10681
