 Experiment N , 100 ,,,,,,,,, bin N ,1000,,aliali,,,,,,,,
,,,,,,,,,,,, 15 ,,,,,,,,,
"""2_DNN_3_None""","""2_Hyperheuristic_3_None""","""5_DNN_3_None""","""5_Hyperheuristic_3_None""","""2_DNN_3_DTS""","""2_Hyperheuristic_3_DTS""","""5_DNN_3_DTS""","""5_Hyperheuristic_3_DTS""",Decima,,,, 429 ," ""2_DNN_3_None"" "," ""2_Hyperheuristic_3_None"" "," ""5_DNN_3_None"" "," ""5_Hyperheuristic_3_None"" "," ""2_DNN_3_DTS"" "," ""2_Hyperheuristic_3_DTS"" "," ""5_DNN_3_DTS"" "," ""5_Hyperheuristic_3_DTS"" ", Decima 
,,,,,,,,,,, 459 , 205 ,100%,83%,100%,87%,100%,92%,100%,95%,100%
,,,,,,,,,,, 460 , 206 ,100%,84%,100%,87%,100%,92%,100%,95%,100%
,,,,,,,,,,, 461 , 206 ,100%,84%,100%,87%,100%,92%,100%,95%,100%
,,,,,,,,,,, 462 , 206 ,100%,84%,100%,89%,100%,92%,100%,95%,100%
,,,,,,,,,,, 463 , 207 ,100%,84%,100%,89%,100%,92%,100%,95%,100%
,,,,,,,,,,, 464 , 207 ,100%,84%,100%,89%,100%,92%,100%,95%,100%
,,,,,,,,,,, 465 , 208 ,100%,85%,100%,90%,100%,92%,100%,95%,100%
,,,,,,,,,,, 466 , 208 ,100%,85%,100%,91%,100%,92%,100%,95%,100%
,,,,,,,,,,, 467 , 208 ,100%,85%,100%,91%,100%,92%,100%,95%,100%
,,,,,,,,,,, 468 , 209 ,100%,86%,100%,91%,100%,92%,100%,95%,100%
,,,,,,,,,,, 469 , 209 ,100%,87%,100%,91%,100%,92%,100%,95%,100%
,,,,,,,,,,, 470 , 210 ,100%,87%,100%,91%,100%,92%,100%,95%,100%
,,,,,,,,,,, 471 , 210 ,100%,88%,100%,91%,100%,92%,100%,95%,100%
,,,,,,,,,,, 472 , 211 ,100%,88%,100%,91%,100%,92%,100%,95%,100%
,,,,,,,,,,, 473 , 211 ,100%,88%,100%,91%,100%,92%,100%,95%,100%
,,,,,,,,,,, 474 , 211 ,100%,88%,100%,91%,100%,92%,100%,95%,100%
,,,,,,,,,,, 475 , 212 ,100%,88%,100%,91%,100%,92%,100%,95%,100%
,,,,,,,,,,, 476 , 212 ,100%,88%,100%,91%,100%,92%,100%,95%,100%
,,,,,,,,,,, 477 , 213 ,100%,88%,100%,91%,100%,92%,100%,95%,100%
,,,,,,,,,,, 478 , 213 ,100%,88%,100%,91%,100%,92%,100%,95%,100%
,,,,,,,,,,, 479 , 213 ,100%,89%,100%,91%,100%,92%,100%,95%,100%
,,,,,,,,,,, 480 , 214 ,100%,89%,100%,91%,100%,92%,100%,95%,100%
,,,,,,,,,,, 481 , 214 ,100%,89%,100%,91%,100%,92%,100%,95%,100%
,,,,,,,,,,, 482 , 215 ,100%,89%,100%,91%,100%,92%,100%,95%,100%
,,,,,,,,,,, 483 , 215 ,100%,89%,100%,91%,100%,92%,100%,95%,100%
,,,,,,,,,,, 484 , 216 ,100%,89%,100%,91%,100%,92%,100%,95%,100%
,,,,,,,,,,, 485 , 216 ,100%,90%,100%,91%,100%,92%,100%,95%,100%
,,,,,,,,,,, 486 , 216 ,100%,91%,100%,91%,100%,92%,100%,95%,100%
,,,,,,,,,,, 487 , 217 ,100%,92%,100%,91%,100%,92%,100%,95%,100%
,,,,,,,,,,, 488 , 217 ,100%,93%,100%,91%,100%,92%,100%,95%,100%
,,,,,,,,,,, 489 , 218 ,100%,94%,100%,91%,100%,92%,100%,95%,100%
,,,,,,,,,,, 490 , 218 ,100%,94%,100%,91%,100%,92%,100%,95%,100%
,,,,,,,,,,, 491 , 218 ,100%,94%,100%,91%,100%,92%,100%,95%,100%
,,,,,,,,,,, 492 , 219 ,100%,94%,100%,91%,100%,92%,100%,95%,100%
,,,,,,,,,,, 493 , 219 ,100%,94%,100%,91%,100%,92%,100%,95%,100%
,,,,,,,,,,, 494 , 220 ,100%,94%,100%,94%,100%,92%,100%,95%,100%
,,,,,,,,,,, 495 , 220 ,100%,94%,100%,94%,100%,92%,100%,95%,100%
,,,,,,,,,,, 496 , 220 ,100%,94%,100%,94%,100%,92%,100%,95%,100%
,,,,,,,,,,, 497 , 221 ,100%,94%,100%,94%,100%,92%,100%,95%,100%
,,,,,,,,,,, 498 , 221 ,100%,94%,100%,94%,100%,92%,100%,95%,100%
,,,,,,,,,,, 499 , 222 ,100%,94%,100%,94%,100%,92%,100%,95%,100%
,,,,,,,,,,, 500 , 222 ,100%,94%,100%,94%,100%,92%,100%,95%,100%
,,,,,,,,,,, 501 , 223 ,100%,94%,100%,94%,100%,92%,100%,95%,100%
,,,,,,,,,,, 502 , 223 ,100%,95%,100%,94%,100%,92%,100%,95%,100%
,,,,,,,,,,, 503 , 223 ,100%,96%,100%,94%,100%,92%,100%,95%,100%
,,,,,,,,,,, 504 , 224 ,100%,96%,100%,94%,100%,92%,100%,95%,100%
,,,,,,,,,,, 505 , 224 ,100%,96%,100%,94%,100%,92%,100%,95%,100%
,,,,,,,,,,, 506 , 225 ,100%,96%,100%,94%,100%,92%,100%,95%,100%
,,,,,,,,,,, 507 , 225 ,100%,96%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 508 , 225 ,100%,96%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 509 , 226 ,100%,96%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 510 , 226 ,100%,96%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 511 , 227 ,100%,96%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 512 , 227 ,100%,97%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 513 , 228 ,100%,97%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 514 , 228 ,100%,97%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 515 , 228 ,100%,98%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 516 , 229 ,100%,98%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 517 , 229 ,100%,98%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 518 , 230 ,100%,98%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 519 , 230 ,100%,98%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 520 , 230 ,100%,98%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 521 , 231 ,100%,98%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 522 , 231 ,100%,98%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 523 , 232 ,100%,98%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 524 , 232 ,100%,98%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 525 , 232 ,100%,98%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 526 , 233 ,100%,98%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 527 , 233 ,100%,98%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 528 , 234 ,100%,98%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 529 , 234 ,100%,98%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 530 , 235 ,100%,98%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 531 , 235 ,100%,98%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 532 , 235 ,100%,98%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 533 , 236 ,100%,98%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 534 , 236 ,100%,98%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 535 , 237 ,100%,98%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 536 , 237 ,100%,98%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 537 , 237 ,100%,98%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 538 , 238 ,100%,98%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 539 , 238 ,100%,98%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 540 , 239 ,100%,98%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 541 , 239 ,100%,98%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 542 , 240 ,100%,98%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 543 , 240 ,100%,98%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 544 , 240 ,100%,98%,100%,95%,100%,92%,100%,95%,100%
,,,,,,,,,,, 545 , 241 ,100%,98%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 546 , 241 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 547 , 242 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 548 , 242 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 549 , 242 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 550 , 243 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 551 , 243 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 552 , 244 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 553 , 244 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 554 , 244 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 555 , 245 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 556 , 245 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 557 , 246 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 558 , 246 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 559 , 247 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 560 , 247 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 561 , 247 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 562 , 248 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 563 , 248 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 564 , 249 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 565 , 249 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 566 , 249 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 567 , 250 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 568 , 250 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 569 , 251 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 570 , 251 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 571 , 252 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 572 , 252 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 573 , 252 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 574 , 253 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 575 , 253 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 576 , 254 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 577 , 254 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 578 , 254 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 579 , 255 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 580 , 255 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 581 , 256 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 582 , 256 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 583 , 256 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 584 , 257 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 585 , 257 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 586 , 258 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 587 , 258 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 588 , 259 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 589 , 259 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 590 , 259 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 591 , 260 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 592 , 260 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 593 , 261 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 594 , 261 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 595 , 261 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 596 , 262 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 597 , 262 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 598 , 263 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 599 , 263 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 600 , 264 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 601 , 264 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 602 , 264 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 603 , 265 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 604 , 265 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 605 , 266 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 606 , 266 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 607 , 266 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 608 , 267 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 609 , 267 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 610 , 268 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 611 , 268 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 612 , 268 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 613 , 269 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 614 , 269 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 615 , 270 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 616 , 270 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 617 , 271 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 618 , 271 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 619 , 271 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 620 , 272 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 621 , 272 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 622 , 273 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 623 , 273 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 624 , 273 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 625 , 274 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 626 , 274 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 627 , 275 ,100%,99%,100%,95%,100%,92%,100%,96%,100%
,,,,,,,,,,, 628 , 275 ,100%,99%,100%,96%,100%,92%,100%,96%,100%
,,,,,,,,,,, 629 , 275 ,100%,99%,100%,96%,100%,92%,100%,96%,100%
,,,,,,,,,,, 630 , 276 ,100%,99%,100%,96%,100%,92%,100%,96%,100%
,,,,,,,,,,, 631 , 276 ,100%,99%,100%,96%,100%,92%,100%,96%,100%
,,,,,,,,,,, 632 , 277 ,100%,99%,100%,96%,100%,92%,100%,96%,100%
,,,,,,,,,,, 633 , 277 ,100%,100%,100%,96%,100%,92%,100%,96%,100%
,,,,,,,,,,, 634 , 278 ,100%,100%,100%,96%,100%,93%,100%,96%,100%
,,,,,,,,,,, 635 , 278 ,100%,100%,100%,96%,100%,93%,100%,96%,100%
,,,,,,,,,,, 636 , 278 ,100%,100%,100%,96%,100%,93%,100%,96%,100%
,,,,,,,,,,, 637 , 279 ,100%,100%,100%,96%,100%,93%,100%,96%,100%
,,,,,,,,,,, 638 , 279 ,100%,100%,100%,96%,100%,93%,100%,96%,100%
,,,,,,,,,,, 639 , 280 ,100%,100%,100%,96%,100%,94%,100%,96%,100%
,,,,,,,,,,, 640 , 280 ,100%,100%,100%,97%,100%,94%,100%,96%,100%
,,,,,,,,,,, 641 , 280 ,100%,100%,100%,97%,100%,94%,100%,96%,100%
,,,,,,,,,,, 642 , 281 ,100%,100%,100%,97%,100%,94%,100%,96%,100%
,,,,,,,,,,, 643 , 281 ,100%,100%,100%,97%,100%,94%,100%,96%,100%
,,,,,,,,,,, 644 , 282 ,100%,100%,100%,98%,100%,94%,100%,96%,100%
,,,,,,,,,,, 645 , 282 ,100%,100%,100%,98%,100%,94%,100%,96%,100%
,,,,,,,,,,, 646 , 283 ,100%,100%,100%,98%,100%,94%,100%,96%,100%
,,,,,,,,,,, 647 , 283 ,100%,100%,100%,98%,100%,94%,100%,96%,100%
,,,,,,,,,,, 648 , 283 ,100%,100%,100%,98%,100%,94%,100%,96%,100%
,,,,,,,,,,, 649 , 284 ,100%,100%,100%,98%,100%,94%,100%,96%,100%
,,,,,,,,,,, 650 , 284 ,100%,100%,100%,98%,100%,94%,100%,96%,100%
,,,,,,,,,,, 651 , 285 ,100%,100%,100%,98%,100%,94%,100%,96%,100%
,,,,,,,,,,, 652 , 285 ,100%,100%,100%,99%,100%,94%,100%,96%,100%
,,,,,,,,,,, 653 , 285 ,100%,100%,100%,99%,100%,94%,100%,96%,100%
,,,,,,,,,,, 654 , 286 ,100%,100%,100%,99%,100%,94%,100%,96%,100%
,,,,,,,,,,, 655 , 286 ,100%,100%,100%,99%,100%,94%,100%,96%,100%
,,,,,,,,,,, 656 , 287 ,100%,100%,100%,99%,100%,94%,100%,96%,100%
,,,,,,,,,,, 657 , 287 ,100%,100%,100%,99%,100%,95%,100%,96%,100%
,,,,,,,,,,, 658 , 287 ,100%,100%,100%,99%,100%,95%,100%,96%,100%
,,,,,,,,,,, 659 , 288 ,100%,100%,100%,99%,100%,95%,100%,97%,100%
,,,,,,,,,,, 660 , 288 ,100%,100%,100%,99%,100%,95%,100%,97%,100%
,,,,,,,,,,, 661 , 289 ,100%,100%,100%,99%,100%,95%,100%,97%,100%
,,,,,,,,,,, 662 , 289 ,100%,100%,100%,99%,100%,95%,100%,97%,100%
,,,,,,,,,,, 663 , 290 ,100%,100%,100%,99%,100%,96%,100%,97%,100%
,,,,,,,,,,, 664 , 290 ,100%,100%,100%,99%,100%,96%,100%,97%,100%
,,,,,,,,,,, 665 , 290 ,100%,100%,100%,99%,100%,96%,100%,97%,100%
,,,,,,,,,,, 666 , 291 ,100%,100%,100%,99%,100%,96%,100%,97%,100%
,,,,,,,,,,, 667 , 291 ,100%,100%,100%,99%,100%,96%,100%,97%,100%
,,,,,,,,,,, 668 , 292 ,100%,100%,100%,99%,100%,96%,100%,97%,100%
,,,,,,,,,,, 669 , 292 ,100%,100%,100%,99%,100%,96%,100%,97%,100%
,,,,,,,,,,, 670 , 292 ,100%,100%,100%,99%,100%,96%,100%,97%,100%
,,,,,,,,,,, 671 , 293 ,100%,100%,100%,99%,100%,96%,100%,97%,100%
,,,,,,,,,,, 672 , 293 ,100%,100%,100%,99%,100%,97%,100%,97%,100%
,,,,,,,,,,, 673 , 294 ,100%,100%,100%,99%,100%,97%,100%,97%,100%
,,,,,,,,,,, 674 , 294 ,100%,100%,100%,99%,100%,97%,100%,98%,100%
,,,,,,,,,,, 675 , 295 ,100%,100%,100%,99%,100%,97%,100%,98%,100%
,,,,,,,,,,, 676 , 295 ,100%,100%,100%,99%,100%,97%,100%,98%,100%
,,,,,,,,,,, 677 , 295 ,100%,100%,100%,99%,100%,97%,100%,98%,100%
,,,,,,,,,,, 678 , 296 ,100%,100%,100%,99%,100%,97%,100%,98%,100%
,,,,,,,,,,, 679 , 296 ,100%,100%,100%,99%,100%,97%,100%,98%,100%
,,,,,,,,,,, 680 , 297 ,100%,100%,100%,100%,100%,97%,100%,98%,100%
,,,,,,,,,,, 681 , 297 ,100%,100%,100%,100%,100%,97%,100%,98%,100%
,,,,,,,,,,, 682 , 297 ,100%,100%,100%,100%,100%,97%,100%,98%,100%
,,,,,,,,,,, 683 , 298 ,100%,100%,100%,100%,100%,97%,100%,98%,100%
,,,,,,,,,,, 684 , 298 ,100%,100%,100%,100%,100%,97%,100%,98%,100%
,,,,,,,,,,, 685 , 299 ,100%,100%,100%,100%,100%,97%,100%,98%,100%
,,,,,,,,,,, 686 , 299 ,100%,100%,100%,100%,100%,97%,100%,98%,100%
,,,,,,,,,,, 687 , 299 ,100%,100%,100%,100%,100%,97%,100%,98%,100%
,,,,,,,,,,, 688 , 300 ,100%,100%,100%,100%,100%,97%,100%,98%,100%
,,,,,,,,,,, 689 , 300 ,100%,100%,100%,100%,100%,97%,100%,98%,100%
,,,,,,,,,,, 690 , 301 ,100%,100%,100%,100%,100%,99%,100%,98%,100%
,,,,,,,,,,, 691 , 301 ,100%,100%,100%,100%,100%,99%,100%,98%,100%
,,,,,,,,,,, 692 , 302 ,100%,100%,100%,100%,100%,99%,100%,98%,100%
,,,,,,,,,,, 693 , 302 ,100%,100%,100%,100%,100%,99%,100%,98%,100%
,,,,,,,,,,, 694 , 302 ,100%,100%,100%,100%,100%,99%,100%,98%,100%
,,,,,,,,,,, 695 , 303 ,100%,100%,100%,100%,100%,99%,100%,98%,100%
,,,,,,,,,,, 696 , 303 ,100%,100%,100%,100%,100%,99%,100%,98%,100%
,,,,,,,,,,, 697 , 304 ,100%,100%,100%,100%,100%,99%,100%,98%,100%
,,,,,,,,,,, 698 , 304 ,100%,100%,100%,100%,100%,99%,100%,98%,100%
,,,,,,,,,,, 699 , 304 ,100%,100%,100%,100%,100%,99%,100%,98%,100%
,,,,,,,,,,, 700 , 305 ,100%,100%,100%,100%,100%,99%,100%,98%,100%
,,,,,,,,,,, 701 , 305 ,100%,100%,100%,100%,100%,99%,100%,98%,100%
,,,,,,,,,,, 702 , 306 ,100%,100%,100%,100%,100%,99%,100%,98%,100%
,,,,,,,,,,, 703 , 306 ,100%,100%,100%,100%,100%,99%,100%,98%,100%
,,,,,,,,,,, 704 , 307 ,100%,100%,100%,100%,100%,99%,100%,98%,100%
,,,,,,,,,,, 705 , 307 ,100%,100%,100%,100%,100%,99%,100%,98%,100%
,,,,,,,,,,, 706 , 307 ,100%,100%,100%,100%,100%,99%,100%,98%,100%
,,,,,,,,,,, 707 , 308 ,100%,100%,100%,100%,100%,99%,100%,98%,100%
,,,,,,,,,,, 708 , 308 ,100%,100%,100%,100%,100%,99%,100%,98%,100%
,,,,,,,,,,, 709 , 309 ,100%,100%,100%,100%,100%,99%,100%,99%,100%
,,,,,,,,,,, 710 , 309 ,100%,100%,100%,100%,100%,99%,100%,99%,100%
,,,,,,,,,,, 711 , 309 ,100%,100%,100%,100%,100%,99%,100%,99%,100%
,,,,,,,,,,, 712 , 310 ,100%,100%,100%,100%,100%,99%,100%,99%,100%
,,,,,,,,,,, 713 , 310 ,100%,100%,100%,100%,100%,99%,100%,99%,100%
,,,,,,,,,,, 714 , 311 ,100%,100%,100%,100%,100%,99%,100%,99%,100%
,,,,,,,,,,, 715 , 311 ,100%,100%,100%,100%,100%,99%,100%,99%,100%
,,,,,,,,,,, 716 , 311 ,100%,100%,100%,100%,100%,99%,100%,99%,100%
,,,,,,,,,,, 717 , 312 ,100%,100%,100%,100%,100%,99%,100%,99%,100%
,,,,,,,,,,, 718 , 312 ,100%,100%,100%,100%,100%,99%,100%,99%,100%
,,,,,,,,,,, 719 , 313 ,100%,100%,100%,100%,100%,99%,100%,99%,100%
,,,,,,,,,,, 720 , 313 ,100%,100%,100%,100%,100%,99%,100%,99%,100%
,,,,,,,,,,, 721 , 314 ,100%,100%,100%,100%,100%,99%,100%,99%,100%
,,,,,,,,,,, 722 , 314 ,100%,100%,100%,100%,100%,99%,100%,99%,100%
,,,,,,,,,,, 723 , 314 ,100%,100%,100%,100%,100%,99%,100%,99%,100%
,,,,,,,,,,, 724 , 315 ,100%,100%,100%,100%,100%,99%,100%,99%,100%
,,,,,,,,,,, 725 , 315 ,100%,100%,100%,100%,100%,99%,100%,99%,100%
,,,,,,,,,,, 726 , 316 ,100%,100%,100%,100%,100%,99%,100%,99%,100%
,,,,,,,,,,, 727 , 316 ,100%,100%,100%,100%,100%,99%,100%,99%,100%
,,,,,,,,,,, 728 , 316 ,100%,100%,100%,100%,100%,99%,100%,99%,100%
,,,,,,,,,,, 729 , 317 ,100%,100%,100%,100%,100%,99%,100%,99%,100%
,,,,,,,,,,, 730 , 317 ,100%,100%,100%,100%,100%,99%,100%,99%,100%
,,,,,,,,,,, 731 , 318 ,100%,100%,100%,100%,100%,99%,100%,99%,100%
,,,,,,,,,,, 732 , 318 ,100%,100%,100%,100%,100%,99%,100%,99%,100%
,,,,,,,,,,, 733 , 319 ,100%,100%,100%,100%,100%,99%,100%,99%,100%
,,,,,,,,,,, 734 , 319 ,100%,100%,100%,100%,100%,99%,100%,99%,100%
,,,,,,,,,,, 735 , 319 ,100%,100%,100%,100%,100%,99%,100%,99%,100%
,,,,,,,,,,, 736 , 320 ,100%,100%,100%,100%,100%,99%,100%,99%,100%
,,,,,,,,,,, 737 , 320 ,100%,100%,100%,100%,100%,99%,100%,99%,100%
,,,,,,,,,,, 738 , 321 ,100%,100%,100%,100%,100%,99%,100%,99%,100%
,,,,,,,,,,, 739 , 321 ,100%,100%,100%,100%,100%,99%,100%,99%,100%
,,,,,,,,,,, 740 , 321 ,100%,100%,100%,100%,100%,100%,100%,99%,100%
,,,,,,,,,,, 741 , 322 ,100%,100%,100%,100%,100%,100%,100%,99%,100%
,,,,,,,,,,, 742 , 322 ,100%,100%,100%,100%,100%,100%,100%,99%,100%
,,,,,,,,,,, 743 , 323 ,100%,100%,100%,100%,100%,100%,100%,99%,100%
,,,,,,,,,,, 744 , 323 ,100%,100%,100%,100%,100%,100%,100%,99%,100%
,,,,,,,,,,, 745 , 323 ,100%,100%,100%,100%,100%,100%,100%,99%,100%
,,,,,,,,,,, 746 , 324 ,100%,100%,100%,100%,100%,100%,100%,99%,100%
,,,,,,,,,,, 747 , 324 ,100%,100%,100%,100%,100%,100%,100%,99%,100%
,,,,,,,,,,, 748 , 325 ,100%,100%,100%,100%,100%,100%,100%,99%,100%
