 Experiment N , 100 ,,,,,,,,, bin N ,1000,,aliali,,,,,,,,
,,,,,,,,,,,, 15 ,,,,,,,,,
"""2_DNN_3_None""","""2_Hyperheuristic_3_None""","""5_DNN_3_None""","""5_Hyperheuristic_3_None""","""2_DNN_3_DTS""","""2_Hyperheuristic_3_DTS""","""5_DNN_3_DTS""","""5_Hyperheuristic_3_DTS""",Decima,,,, 429 ," ""2_DNN_3_None"" "," ""2_Hyperheuristic_3_None"" "," ""5_DNN_3_None"" "," ""5_Hyperheuristic_3_None"" "," ""2_DNN_3_DTS"" "," ""2_Hyperheuristic_3_DTS"" "," ""5_DNN_3_DTS"" "," ""5_Hyperheuristic_3_DTS"" ", Decima 
 24 , 192 , 24 , 41 , 18 , 23 , 17 , 169 , 17 ,,, 48 , 35 ,94%,15%,90%,24%,96%,40%,93%,32%,100%
 25 , 25 , 23 , 186 , 18 , 301 , 19 , 34 , 17 ,,, 49 , 36 ,94%,15%,91%,24%,96%,41%,93%,32%,100%
 20 , 45 , 19 , 118 , 17 , 20 , 19 , 50 , 21 ,,, 50 , 36 ,94%,16%,92%,25%,96%,41%,94%,32%,100%
 39 , 55 , 20 , 28 , 18 , 287 , 39 , 31 , 17 ,,, 51 , 36 ,94%,16%,93%,26%,96%,41%,94%,32%,100%
 47 , 208 , 26 , 204 , 20 , 151 , 25 , 166 , 16 ,,, 52 , 37 ,95%,17%,93%,27%,96%,41%,94%,32%,100%
 20 , 44 , 21 , 86 , 18 , 32 , 19 , 158 , 16 ,,, 53 , 37 ,95%,17%,94%,28%,96%,41%,94%,32%,100%
 25 , 201 , 26 , 33 , 156 , 150 , 18 , 77 , 17 ,,, 54 , 38 ,96%,17%,94%,29%,96%,42%,94%,32%,100%
 31 , 194 , 24 , 32 , 17 , 72 , 17 , 174 , 16 ,,, 55 , 38 ,97%,17%,94%,30%,96%,42%,94%,32%,100%
 20 , 26 , 23 , 29 , 165 , 65 , 30 , 54 , 16 ,,, 56 , 39 ,98%,18%,94%,32%,96%,43%,94%,32%,100%
 22 , 204 , 22 , 50 , 19 , 151 , 22 , 45 , 16 ,,, 57 , 39 ,98%,19%,94%,33%,96%,43%,94%,32%,100%
 21 , 26 , 28 , 58 , 21 , 22 , 33 , 177 , 17 ,,, 58 , 39 ,98%,20%,94%,33%,96%,43%,95%,32%,100%
 22 , 196 , 27 , 29 , 19 , 144 , 29 , 160 , 17 ,,, 59 , 40 ,98%,22%,94%,35%,96%,43%,95%,32%,100%
 25 , 192 , 25 , 26 , 19 , 24 , 29 , 176 , 17 ,,, 60 , 40 ,98%,23%,94%,35%,96%,43%,96%,32%,100%
 22 , 36 , 23 , 30 , 16 , 32 , 22 , 29 , 16 ,,, 61 , 41 ,98%,23%,94%,35%,96%,43%,96%,32%,100%
 23 , 43 , 20 , 60 , 19 , 39 , 19 , 150 , 17 ,,, 62 , 41 ,98%,23%,94%,36%,96%,43%,96%,32%,100%
 26 , 77 , 21 , 220 , 17 , 141 , 21 , 172 , 16 ,,, 63 , 41 ,98%,23%,94%,36%,96%,43%,96%,32%,100%
 20 , 218 , 21 , 39 , 17 , 36 , 17 , 55 , 16 ,,, 64 , 42 ,98%,23%,94%,36%,96%,43%,96%,32%,100%
 33 , 218 , 26 , 208 , 17 , 30 , 16 , 25 , 17 ,,, 65 , 42 ,98%,23%,94%,36%,96%,43%,96%,32%,100%
 21 , 200 , 22 , 61 , 16 , 26 , 16 , 26 , 16 ,,, 66 , 43 ,98%,24%,94%,38%,96%,43%,96%,32%,100%
