id,scheduler_name,input_feature,train_data,job_arrival_cap,job_arrival_rate,num_heuristics,resource_allocation,model_num_train,model_name,num_executors,num_experiments,test_data,avg_job_duration
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,2855.122695384988
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,2288.5365713592123
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,2826.456408221267
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,3442.5126605656064
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,3183.8478595299916
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,3524.499098843556
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,3866.285247240654
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,2819.2216624513867
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,3245.2786698735163
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,3893.8250552330337
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,2799.69817041124
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,2462.313882846055
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,3219.92654045879
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,3314.4091675866243
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,1901.7136003862022
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,3457.491933297106
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,2828.5355100415486
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,2849.7539970056014
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,2672.310687715763
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,2534.087004702764
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,2485.8409809429468
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,2925.6784582291903
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,2615.188022469032
3,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,100,cap100_int8,20,50,TPCHDataSampler,2851.6588248889084
3,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,100,cap100_int8,20,50,TPCHDataSampler,3594.030601467821
3,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,100,cap100_int8,20,50,TPCHDataSampler,2795.4117759681913
3,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,100,cap100_int8,20,50,TPCHDataSampler,3064.846888692165
3,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,100,cap100_int8,20,50,TPCHDataSampler,3049.37032759286
3,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,100,cap100_int8,20,50,TPCHDataSampler,3048.2386646162845
3,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,100,cap100_int8,20,50,TPCHDataSampler,2694.183020942876
3,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,100,cap100_int8,20,50,TPCHDataSampler,3581.985435475803
3,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,100,cap100_int8,20,50,TPCHDataSampler,2469.2967016397843
3,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,100,cap100_int8,20,50,TPCHDataSampler,2270.911502691989
3,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,100,cap100_int8,20,50,TPCHDataSampler,2507.238883800179
3,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,100,cap100_int8,20,50,TPCHDataSampler,2313.4352811560566
3,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,100,cap100_int8,20,50,TPCHDataSampler,2916.8987164718274
3,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,100,cap100_int8,20,50,TPCHDataSampler,2359.903120632807
3,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,100,cap100_int8,20,50,TPCHDataSampler,3861.9050747260108
3,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,100,cap100_int8,20,50,TPCHDataSampler,2906.743825748333
3,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,100,cap100_int8,20,50,TPCHDataSampler,3537.333065141443
3,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,100,cap100_int8,20,50,TPCHDataSampler,2593.733285475921
3,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,100,cap100_int8,20,50,TPCHDataSampler,3077.312688667795
3,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,100,cap100_int8,20,50,TPCHDataSampler,3171.4625586757434
3,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,100,cap100_int8,20,50,TPCHDataSampler,3566.4292200243067
3,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,100,cap100_int8,20,50,TPCHDataSampler,2848.805441302284
3,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,100,cap100_int8,20,50,TPCHDataSampler,3554.2049832809935
3,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,100,cap100_int8,20,50,TPCHDataSampler,2440.380785812894
3,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,100,cap100_int8,20,50,TPCHDataSampler,3404.788250487736
3,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,100,cap100_int8,20,50,TPCHDataSampler,3694.9629837746265
3,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,100,cap100_int8,20,50,TPCHDataSampler,2950.636494812133
3,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,100,cap100_int8,20,50,TPCHDataSampler,2755.9832953849877
3,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,100,cap100_int8,20,50,TPCHDataSampler,2258.0813477940287
3,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,100,cap100_int8,20,50,TPCHDataSampler,2723.2706882212665
3,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,100,cap100_int8,20,50,TPCHDataSampler,3419.659720565606
3,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,100,cap100_int8,20,50,TPCHDataSampler,3193.5458546426353
3,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,100,cap100_int8,20,50,TPCHDataSampler,3472.711118843556
3,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,100,cap100_int8,20,50,TPCHDataSampler,3819.6182548077804
